Отметка времени;Амбассадор;Выбери активность;Название заведения с Яндекс карты;Адрес с Яндекс карты;Bliss ( что стоит в работе );WHITE LINE  ( что стоит в работе );BLACK LINE  ( что стоит в работе );CIGAR LINE  ( что стоит в работе )
09.09.2025;Чечин Илья;Проезд;Негроничное пространство;Профсоюзная улица, 48/10;;ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ЗЕЛЕНЫЙ ЧАЙ, КИВИ СЕЛЬДЕРЕЙ, ПЕСОЧНОЕ ПЕЧЕНЬЕ;;
10.09.2025;Шарков Роман;Проезд;Искусство ;Республика Башкортостан, Уфа, улица имени Города Галле, 6 • этаж 2;АПЕЛЬСИН, АРБУЗНАЯ ЖВАЧКА, ДЫНЯ, КИСЛАЯ СМОРОДИНА, КОЛА, КРАСНЫЙ ВИНОГРАД, ЛИМОНЧЕЛЛО, МАЛИНА, МАНГО, СЛИВОЧНЫЙ КРЕМ, ТРОПИЧЕСКИЙ СМУЗИ, ХВОЯ, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ, PINK SHOT;АЛОЭ КЛУБНИКА, БАЗИЛИК ЛАЙМ, БАРБАРИС, ВИШНЁВЫЙ СОК, ГАСПАЧО, ГОЛУБИКА, ГРЕЙПФРУТ, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ГРУША ГОРГОНЗОЛА, ДЫНЯ ЙОГУРТ, ЗЕЛЁНОЕ ЯБЛОКО ( БЕЗ АНИСА), ЗЕЛЕНЫЙ ЧАЙ, ЗЕМЛЯНИКА, КИВИ СЕЛЬДЕРЕЙ, КИСЛАЯ МАЛИНА, КОКОС, КОЛА КАРАМЕЛЬ, ЛАВАНДА ФЕЙХОА, ЛАВАНДОВЫЙ ТОНИК, ЛИМОНЧЕЛЛО, МАНДАРИН, МЯТНАЯ КОНФЕТА, ПЕСОЧНОЕ ПЕЧЕНЬЕ, ПОСЛЕДНИЙ САМУРАЙ (ВАНИЛЬ ВИШНЯ ЖАСМИН), ЧЕРЁМУХА, ЧЕРНИКА ЙОГУРТ, ЧЕРНОСЛИВ КЕДР, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);АРБУЗ, ЛАВАНДА, ЧЁРНАЯ СМОРОДИНА;АНАНАС, БАЗА, ГРЕЦКИЙ, ДЖИН, ЗЕМЛЯНИКА, КАРАМЕЛЬ, МАЛИНА, МАНГО, МОРКОВНЫЙ ФРЕШ, ЧЁРНЫЙ ПЕРЕЦ
10.09.2025;Дмитрий Мальков;Проезд;Mid Lounge & Gastro bar;Москва, Большой Конюшковский переулок, 37;;ГОЛУБИКА, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ЧЕРЁМУХА;;
10.09.2025;Дмитрий Мальков;Проезд;Weston;Москва, улица Красная Пресня, 32-34с3;МАЛИНА, МАЛИНОВАЯ КОЛА, ТРОПИЧЕСКИЙ СМУЗИ, ЧЕРНИЧНЫЙ СОРБЕТ, PINK SHOT;ГРУША ГОРГОНЗОЛА, МАНДАРИН;ГВОЗДИКА, КОРИЦА;
10.09.2025;Эдуард Цепелев;Проезд;Туман;Пермь, улица Куйбышева, 69, 614016 • этаж цокольный;АПЕЛЬСИН, АРБУЗНАЯ ЖВАЧКА, ДЫНЯ, КИСЛАЯ СМОРОДИНА, КЛУБНИКА, КОЛА, ЛИМОН, ЛИМОНЧЕЛЛО, МАЛИНА, МАЛИНОВАЯ КОЛА, МАНГО, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ, PINK SHOT;ВИШНЁВЫЙ СОК, ДЫНЯ ЙОГУРТ, ЗЕМЛЯНИКА, КАРАМЕЛЬ ЦИТРУС, ЛАВАНДОВЫЙ ТОНИК, МУЛЬТИФРУКТ, САХАРНАЯ КЛЮКВА, ЧЕРНИКА ЙОГУРТ, ЯГОДНЫЙ, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);КОРИЦА, ЛАВАНДА, УРАЛ;ДЖИН, МОРКОВНЫЙ ФРЕШ
10.09.2025;Шарков Роман;Проезд;Paradox lounge;Республика Башкортостан, Уфа, проспект Октября, 15, 450001;АПЕЛЬСИН, АРБУЗНАЯ ЖВАЧКА, ДЫНЯ, КЛУБНИКА, КРАСНЫЙ ВИНОГРАД, МАЛИНА, МАНГО, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ;АРБУЗ ЯГОДЫ, ВИШНЁВЫЙ СОК, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ДЫНЯ ЙОГУРТ, КОКОС, ПЕСОЧНОЕ ПЕЧЕНЬЕ, САХАРНАЯ КЛЮКВА, СМОРОДИНА ЧАБРЕЦ, ЯГОДНЫЙ МИЛКШЕЙК;МАЛИНА ЛИЧИ БАЗИЛИК;
10.09.2025;Дмитрий Мальков;Проезд;Dark Haze;Москва, улица Красная Пресня, 29 • этаж 2, помещение 10;;ГАСПАЧО, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА);;
10.09.2025;Дмитрий Мальков;Проезд;Authentic Lovers;Москва, 2-я Звенигородская улица, 12, стр. 1;;ГАСПАЧО, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ДЫНЯ ЙОГУРТ, КАРАМЕЛЬ ЦИТРУС, КЛУБНИКА АНАНАС, ЧЕРЁМУХА, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);УРАЛ;БАЗА, ГРЕЦКИЙ
10.09.2025;Дмитрий Никулин;Проезд;Мята Lounge;ул. Саляма Адиля, 9, корп. 3 • этаж 7;ЛИМОНЧЕЛЛО;ГАСПАЧО, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ФРУКТОВАЯ КОНФЕТА;;
10.09.2025;Шарков Роман;Проезд;Paradox;Республика Башкортостан, Уфа, Комсомольская улица, 15;ЛИМОНЧЕЛЛО, МАЛИНА, ТРОПИЧЕСКИЙ СМУЗИ, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ, PINK SHOT;БАРБАРИС, КОКОС, ЧЕРНОСЛИВ КЕДР;КОРИЦА;ДЖИН
